city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
lucapa,ao,2017-08-23 09:52:06,20.74,-8.42,71.9,74.0,0.0,3.38
luderitz,na,2017-08-23 09:00:00,15.16,-26.65,64.4,55.0,0.0,24.16
luena,ao,2017-08-23 09:52:07,19.92,-11.78,68.12,40.0,0.0,3.71
lyubim,ru,2017-08-23 09:52:07,40.68,58.36,73.97,44.0,32.0,16.24
machaneng,bw,2017-08-23 09:52:08,27.49,-23.19,56.42,16.0,0.0,6.62
mahajanga,mg,2017-08-23 09:00:00,46.32,-15.72,77.0,88.0,20.0,4.7
mahebourg,mu,2017-08-23 09:00:00,57.7,-20.41,73.4,83.0,40.0,8.05
mahibadhoo,mv,2017-08-23 09:52:08,72.97,3.78,83.69,100.0,88.0,7.18
makungu,tz,2017-08-23 09:52:09,35.28,-8.73,64.16,75.0,0.0,2.93
malanje,ao,2017-08-23 09:52:09,16.34,-9.54,69.29,69.0,0.0,5.39
manakara,mg,2017-08-23 09:52:09,48.02,-22.13,73.34,93.0,36.0,16.46
manaure,co,2017-08-23 09:00:00,-72.44,11.78,87.8,70.0,40.0,13.87
manaus,br,2017-08-23 09:00:00,-60.03,-3.1,89.6,59.0,40.0,6.93
mandera,ke,2017-08-23 09:52:10,41.87,3.94,88.1,36.0,8.0,11.88
mangrol,in,2017-08-23 09:52:10,70.12,21.12,78.65,94.0,80.0,6.51
manicore,br,2017-08-23 09:52:10,-61.3,-5.81,97.37,38.0,0.0,2.93
mar del plata,ar,2017-08-23 09:00:00,-57.56,-38.0,62.6,67.0,0.0,4.7
marcona,pe,2017-08-23 09:52:11,-75.16,-15.37,60.29,94.0,68.0,13.78
marfino,ru,2017-08-23 09:30:00,37.38,55.7,66.2,93.0,40.0,15.66
margate,za,2017-08-23 09:52:11,30.37,-30.86,62.54,79.0,0.0,7.74
marienburg,sr,2017-08-23 09:00:00,-55.02,5.85,93.2,62.0,40.0,10.29
marovoay,mg,2017-08-23 09:00:00,46.63,-16.1,77.0,88.0,20.0,4.7
masjed-e soleyman,ir,2017-08-23 09:00:00,49.3,31.94,105.8,10.0,0.0,4.7
matara,lk,2017-08-23 09:52:13,80.54,5.95,80.81,88.0,92.0,11.43
mbandaka,cd,2017-08-23 09:52:13,18.26,0.05,73.52,97.0,56.0,2.71
mecca,sa,2017-08-23 09:00:00,39.83,21.43,104.0,35.0,75.0,8.41
mehamn,no,2017-08-23 08:50:00,27.85,71.04,50.0,71.0,20.0,6.93
menongue,ao,2017-08-23 09:52:14,17.69,-14.66,68.03,25.0,0.0,4.27
mercedes,uy,2017-08-23 09:52:14,-58.03,-33.25,73.7,63.0,48.0,11.88
meridian,us,2017-08-23 09:15:00,-116.39,43.61,75.2,49.0,1.0,4.7
mikhaylovka,ru,2017-08-23 09:52:14,43.24,50.06,65.96,98.0,100.0,6.29
minas,uy,2017-08-23 09:00:00,-55.24,-34.38,69.8,60.0,0.0,10.29
minsk,by,2017-08-23 09:30:00,27.57,53.9,55.4,93.0,75.0,8.95
miranda,br,2017-08-23 09:52:15,-56.38,-20.24,92.42,44.0,0.0,11.65
mitsamiouli,km,2017-08-23 09:00:00,43.28,-11.38,78.8,83.0,20.0,5.17
mocuba,mz,2017-08-23 09:52:16,37.0,-17.0,69.92,59.0,0.0,6.62
mollendo,pe,2017-08-23 09:52:16,-72.01,-17.02,69.2,60.0,0.0,4.38
mongo,td,2017-08-23 09:52:17,18.69,12.18,80.63,75.0,56.0,7.18
monrovia,lr,2017-08-23 09:30:00,-10.8,6.3,78.8,88.0,75.0,10.29
mookane,bw,2017-08-23 09:52:17,26.66,-23.69,51.65,50.0,0.0,2.93
moose factory,ca,2017-08-23 09:00:00,-80.63,51.28,53.6,100.0,90.0,17.22
morondava,mg,2017-08-23 09:52:18,44.28,-20.28,72.17,92.0,0.0,5.95
morros,br,2017-08-23 09:52:18,-46.3,-9.45,91.52,29.0,0.0,15.79
mount darwin,zw,2017-08-23 09:52:18,31.58,-16.77,70.46,34.0,0.0,7.4
mugango,tz,2017-08-23 09:52:18,33.7,-1.68,72.17,88.0,44.0,6.96
muheza,tz,2017-08-23 09:52:19,38.78,-5.17,75.77,85.0,0.0,7.07
muli,mv,2017-08-23 09:52:19,73.57,2.92,83.69,100.0,56.0,6.29
